timestamp,sender,receiver,message_type,message
2026-07-11 18:39:16,SOWMYA,MUSKAN,PRIVATE,I AM FINE
2026-07-11 18:39:40,MUSKAN,SOWMYA,PRIVATE,DID YOU SEE THE BROADCAST MESSAGE?
2026-07-11 18:39:58,SOWMYA,MUSKAN,PRIVATE,YEAH LETS JOIN THE CSE GROUP
2026-07-11 18:40:04,MUSKAN,SOWMYA,PRIVATE,OK DONE
2026-07-11 18:40:10,SOWMYA,MUSKAN,PRIVATE,YEAH BYE
2026-07-11 18:40:14,MUSKAN,SOWMYA,PRIVATE,bye
2026-07-11 18:40:38,MUSKAN,CSE,GROUP_JOIN,Joined Group
2026-07-11 18:40:55,MUSKAN,CSE,GROUP,HII
2026-07-11 18:41:09,SOWMYA,CSE,GROUP_JOIN,Joined Group
2026-07-11 18:41:16,SOWMYA,CSE,GROUP,HELLO
2026-07-11 18:41:44,MUSKAN,FRIENDS,GROUP_CREATE,Group Created
2026-07-11 18:41:53,MUSKAN,FRIENDS,GROUP_JOIN,Joined Group
2026-07-11 18:42:03,SOWMYA,FRIENDS,GROUP_JOIN,Joined Group
2026-07-11 18:42:08,MUSKAN,FRIENDS
2026-07-11 20:32:47,FATHIMA,CSE,GROUP,HII
2026-07-11 20:33:47,SOWMYA,CSE,GROUP_JOIN,Joined Group
2026-07-11 20:34:28,SREEKARI,CSE,GROUP_JOIN,Joined Group
2026-07-11 20:37:03,FATHIMA,CSE,GROUP,HELLO EVERYONE WELCOME TO CSE
2026-07-11 20:37:11,SREEKARI,CSE,GROUP,HI
2026-07-11 20:37:22,MUSKAN,CSE,GROUP,WELCOME EVERYONE
2026-07-11 20:37:30,SOWMYA,CSE,GROUP,HEY
2026-07-14 21:37:20,khatija,ALL,BROADCAST,hello
2026-07-14 21:39:07,khatija,CSE,GROUP_CREATE,Group Created
2026-07-14 21:39:11,khatija,CSE,GROUP_JOIN,Joined Group
2026-07-14 22:51:18,khatija,ALL,BROADCAST,hello
2026-07-15 19:43:03,khatija,ALL,BROADCAST,HIII
2026-07-16 12:59:38,admin,ALL,BROADCAST,hi
2026-07-16 13:00:29,admin,khatija,PRIVATE,hello khatija
2026-07-16 13:00:45,fathima,admin,PRIVATE,hey admin
2026-07-16 13:00:50,admin,khatija,PRIVATE,hi
2026-07-16 13:03:13,admin,fathima,PRIVATE,hi
2026-07-16 13:03:21,fathima,admin,PRIVATE,hello
2026-07-16 18:29:00,khatija,admin,PRIVATE,hello
2026-07-16 18:29:04,admin,khatija,PRIVATE,hiii
2026-07-16 18:29:28,admin,ALL,BROADCAST,hey
2026-07-16 18:29:55,admin,cse,GROUP_CREATE,Group Created
2026-07-16 18:46:34,admin,ALL,BROADCAST,hi everyone
2026-07-16 21:22:41,khatija,ALL,BROADCAST,HELLO EVERYONE!!
2026-07-16 21:22:57,khatija,ALL,BROADCAST,PLEASE JOIN THE CSE GROUP
2026-07-16 21:23:13,khatija,CSE,GROUP_CREATE,Group Created
2026-07-16 21:23:18,khatija,CSE,GROUP_JOIN,Joined Group
2026-07-16 21:23:29,khatija,CSE,GROUP,HELLO WELCOME EVERYONE
2026-07-16 21:24:45,khatija,admin,PRIVATE,hi admin
2026-07-16 21:24:51,admin,khatija,PRIVATE,hello khatija
2026-07-16 21:25:05,admin,khatija,PRIVATE,hi
2026-07-16 21:25:24,khatija,admin,PRIVATE,hi
2026-07-16 21:48:17,khatija,ALL,BROADCAST,HELLO EVERYONE
2026-07-16 21:51:57,admin,khatija,PRIVATE,hello
2026-07-16 21:52:01,khatija,admin,PRIVATE,hi
2026-07-16 21:52:04,khatija,admin,PRIVATE,hey
2026-07-16 21:52:08,admin,khatija,PRIVATE,heyyy
2026-07-16 21:52:17,admin,khatija,PRIVATE,how are you]
2026-07-16 21:52:22,khatija,admin,PRIVATE,i am fine
2026-07-16 21:54:03,khatija,cyber,GROUP_CREATE,Group Created
2026-07-16 21:54:08,khatija,cyber,GROUP_JOIN,Joined Group
2026-07-16 21:54:21,admin,cyber,GROUP_JOIN,Joined Group
2026-07-16 21:54:39,admin,cyber,GROUP,hello everyone
2026-07-16 21:54:57,admin,cyber,GROUP,welcome
2026-07-16 21:55:15,admin,cyber,GROUP,this is the cyber group
2026-07-16 21:55:24,khatija,cyber,GROUP,hiii
